#ice-age (yr b1950)	R
8709.11	1.380999797
8729.796667	1.380999797
8750.483333	1.380999797
8771.17	1.375099584
8791.95	1.375099584
8812.73	1.375099584
8833.51	1.335674108
8854.9	1.335674108
8876.29	1.335674108
8897.68	1.437848885
8917.553333	1.437848885
8937.426667	1.437848885
8957.3	1.433649722
8977.233333	1.433649722
8997.166667	1.433649722
9017.1	1.438150214
9036.973333	1.438150214
9056.846667	1.438150214
9076.72	1.431326574
9096.68	1.431326574
9116.64	1.431326574
9136.6	1.400197361
9157.006667	1.400197361
9177.413333	1.400197361
9197.82	1.365223775
9218.753333	1.365223775
9239.686667	1.365223775
9260.62	1.512972109
9279.503333	1.512972109
9298.386667	1.512972109
9317.27	1.429314475
9337.266667	1.429314475
9357.263333	1.429314475
9377.26	1.474105549
9396.656667	1.474105549
9416.053333	1.474105549
9435.45	1.507139938
9454.416667	1.507139938
9473.383333	1.507139938
9492.35	1.572372772
9510.533333	1.572372772
9528.716667	1.572372772
9546.9	1.418870029
9567.05	1.418870029
9587.2	1.418870029
9607.35	1.497385632
9626.44	1.497385632
9645.53	1.497385632
9664.62	1.507431547
9683.583333	1.507431547
9702.546667	1.507431547
9721.51	1.550288284
9739.94	1.550288284
9758.37	1.550288284
9776.8	1.574141864
9794.956667	1.574141864
9813.113333	1.574141864
9831.27	1.620332659
9848.906667	1.620332659
9866.543333	1.620332659
9884.18	1.420148246
9904.296667	1.420148246
9924.413333	1.420148246
9944.53	1.502479062
9963.553333	1.502479062
9982.576667	1.502479062
10001.6	1.485303318
10020.83333	1.485303318
10040.06667	1.485303318
10059.3	1.501113361
10078.33333	1.501113361
10097.36667	1.501113361
10116.4	1.550730557
10134.83333	1.550730557
10153.26667	1.550730557
10171.7	1.545569086
10190.16667	1.545569086
10208.63333	1.545569086
10227.1	1.572382492
10245.3	1.572382492
10263.5	1.572382492
10281.7	1.524442046
10300.46667	1.524442046
10319.23333	1.524442046
10338	1.473833381
10357.36667	1.473833381
10376.73333	1.473833381
10396.1	1.521929352
10414.9	1.521929352
