LON	LAT	x	y	distance (km)	QL_bed	A_basal_unit	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
123.294525	-75.139244	1356938.717	-891156.5336	10.6	3185.36	nan	1067.98	1184.03	1250.22	1320.1	1481.66	1570.27	1718.85	1853.64	1945.41	2074.04	2145.76	2266.47	2288.86	2469.77	2512.72	2552.87	2613.13	2661.63	2777.97
123.28997	-75.13945	1356990.544	-891036.1687	10.7	3202.72	nan	1066.39	1185.34	1250.95	1319.57	1482.4	1571.44	1720.44	1854.9	1947.87	2077.57	2149.27	2270.24	2293.51	2472.52	2513.81	2556.17	2616.99	2665.44	2783.49
123.285988	-75.139801	1357020.066	-890920.585	10.8	3208.1	nan	1066.68	1186.53	1250.28	1319.59	1483.07	1571.99	1721.88	1856.52	1949.36	2080.78	2152.46	2271.51	2295.07	2474.33	2514.71	2556.94	2617.97	2668.9	2782.91
123.282402	-75.140182	1357040.653	-890812.5628	10.9	3208.78	nan	1066.22	1187.63	1250.41	1319.51	1483.32	1572.38	1722	1857.38	1950.03	2083.08	2155.41	2273.83	2296.68	2475.46	2515.54	2557.64	2617.49	2670.2	2779.96
123.27874	-75.140594	1357059.55	-890700.8631	11	3209.72	nan	1065.88	1187.63	1250.33	1320.15	1483.32	1572.38	1721.43	1858.09	1950.72	2085.33	2157.21	2275.37	2297.67	2475.33	2516.28	2558.37	2615.94	2670.2	2778.21
123.275726	-75.141129	1357057.011	-890597.0606	11.1	3207.53	nan	1065.24	1187.63	1249.73	1319.89	1483.32	1572.12	1720.91	1857.75	1951.35	2087.39	2158.13	2275.39	2299.06	2477.24	2516.92	2559.04	2614.43	2670.2	2776.69
123.272606	-75.141632	1357059.067	-890492.6888	11.2	3202.75	nan	1065.35	1187.63	1249.13	1318.76	1483.32	1571.91	1720.39	1858.15	1951.99	2088.15	2159.05	2276.17	2298.38	2476.54	2517.56	2559.4	2612.91	2670.2	2775.18
123.269615	-75.142181	1357054.864	-890388.5883	11.3	3191.98	nan	1064.56	1186.95	1248.6	1317.73	1483.32	1571.73	1719.87	1858.11	1952.59	2087.2	2159.97	2277.41	2298.96	2476.25	2518.2	2560.3	2614.22	2668.94	2775.35
123.266731	-75.142731	1357048.899	-890286.9644	11.4	3180.22	nan	1063.01	1186.03	1247.51	1317.36	1483.32	1571.1	1719.36	1857.9	1952.72	2086.95	2160.6	2276.56	2299.15	2476.37	2518.59	2561.02	2616.12	2667.22	2775.58
123.26342	-75.143196	1357057.41	-890180.3782	11.5	3181.6	nan	1062.03	1185.05	1246.67	1317.08	1483.32	1571.22	1718.94	1858.05	1952.86	2086.97	2160.88	2277.85	2299.37	2476.27	2518.02	2561.55	2615.91	2665.4	2773.54
123.260368	-75.14373	1357055.518	-890075.7497	11.6	3185.86	nan	1060.69	1184.1	1246.87	1316	1483.72	1570.58	1718.94	1858.26	1953	2087.56	2161.15	2277.6	2299.29	2476.55	2517.48	2561.81	2615.53	2663.63	2767.04
123.257256	-75.144226	1357058.059	-889972.004	11.7	3180.81	nan	1059.76	1183.15	1245.3	1314.97	1483.32	1570.13	1718.94	1858.25	1953.14	2088.15	2161.42	2277.24	2298.78	2474.82	2516.93	2562.07	2615.15	2661.86	2761.22
123.254257	-75.144775	1357053.945	-889867.7279	11.8	3167.99	nan	1057.8	1182.21	1244.07	1314.39	1483.32	1569.64	1718.94	1857.84	1953.27	2088.57	2161.69	2277.14	2298.54	2474.22	2516.39	2562.33	2612.43	2660.09	2756.89
123.251213	-75.145309	1357051.907	-889763.297	11.9	3150.17	nan	1058.21	1181.26	1243.44	1313.42	1482.28	1569.27	1718.59	1857.72	1953.41	2089.24	2161.96	2276.97	2298.17	2472.35	2513.76	2562.59	2610.11	2658.33	2753.48
123.248077	-75.145805	1357054.8	-889658.9905	12	3140.44	nan	1057.39	1180.31	1242.51	1313.2	1482.29	1569.25	1717.99	1857.94	1954.29	2089.91	2162.23	2276.45	2298.41	2470.84	2511.02	2562.85	2609.58	2656.56	2750.39
123.244774	-75.146271	1357063.048	-889552.547	12.1	3132	nan	1054.74	1179.13	1242.49	1312.56	1481.7	1569.49	1717.38	1858.01	1955.13	2090.44	2162.85	2277.87	2301.14	2471.3	2509.92	2563.11	2610.67	2656.41	2750.48
123.241478	-75.146751	1357069.888	-889445.424	12.2	3126.04	nan	1055.29	1178.91	1241.64	1312.63	1481.12	1569.46	1716.77	1859.62	1956.11	2090.92	2164.35	2279.11	2301	2471.03	2509.92	2564.06	2611.71	2656.41	2750.77
123.238792	-75.147362	1357055.152	-889344.8222	12.3	3124.92	nan	1054.64	1178.19	1240.62	1311.65	1480.54	1569.47	1716.18	1859.15	1957.2	2091.39	2165.81	2279.99	2300.93	2472	2509.92	2565.14	2612.57	2657.85	2753.48
123.237495	-75.1483	1356988.65	-889257.3301	12.4	3131.04	nan	1053.88	1177.43	1240.24	1311.63	1479.94	1568.83	1716.37	1860.22	1958.91	2091.89	2167.36	2279.7	2301.65	2473.12	2510.3	2565.82	2613.56	2660.29	2756.99
123.236534	-75.149323	1356909.08	-889172.6545	12.5	3143.71	nan	1052.54	1176.63	1239.18	1311.17	1479.3	1568.32	1716.68	1860.34	1960.81	2093.54	2168.98	2281.32	2302.52	2473.57	2511.36	2566.31	2614.6	2662.85	2760.68
123.235237	-75.150261	1356842.573	-889085.1693	12.6	3158.73	nan	1050.93	1175.87	1238.13	1309.43	1478.7	1568.31	1716.97	1860.7	1962.44	2095.59	2170.78	2283.23	2304.28	2475.75	2512.36	2567.32	2615.59	2665.28	2761.91
123.233559	-75.1511	1356791.118	-888994.6569	12.7	3161.45	nan	1050.7	1175.15	1237.55	1308.62	1478.13	1568.59	1717.24	1862.17	1964.06	2097.53	2172.8	2283.97	2306.11	2475.41	2513.31	2567.05	2616.73	2667.59	2761.42
123.231628	-75.151871	1356749.865	-888902.2724	12.8	3161.09	nan	1049.74	1174.46	1237.22	1309.24	1479.46	1568.97	1717.51	1863.39	1965.64	2099.44	2174.97	2285.48	2308.47	2476.18	2514.23	2567.43	2618.24	2669.82	2763.29
123.229683	-75.152672	1356706.053	-888807.7449	12.9	3165.36	nan	1049.65	1173.74	1236.67	1308.9	1480.82	1569.74	1717.96	1865.12	1966.93	2101.76	2176.82	2287.92	2309.69	2477.9	2515.18	2567.69	2619.49	2672.12	2766.15
123.227737	-75.153442	1356665.116	-888715.0736	13	3174.71	nan	1049.02	1173.04	1236.9	1309.08	1482.21	1570.24	1717.84	1866.58	1968.87	2104.01	2178.64	2289.24	2312.58	2479.71	2517.96	2567.95	2620.84	2674.36	2769.09
123.225784	-75.154243	1356621.419	-888620.3647	13.1	3175.95	nan	1048.83	1172.32	1237.11	1308.7	1483.26	1571.36	1719.06	1868.67	1970.85	2106.33	2181.3	2292.48	2313.2	2481.85	2520.53	2568.21	2622.24	2676.54	2772.11
123.223839	-75.155045	1356577.501	-888525.7889	13.2	3177.46	nan	1048.12	1172.23	1236.3	1308.83	1484.88	1572.16	1720.41	1870.21	1972.84	2108.64	2182.89	2294.87	2316.83	2483.06	2522.97	2568.47	2623.64	2677.99	2775.1
123.221893	-75.155815	1356536.55	-888433.1295	13.3	3179.47	nan	1048.3	1172.43	1236.26	1309.52	1486.2	1573.46	1721.58	1872.14	1974.77	2110.89	2184.83	2296.79	2319.22	2485.35	2525.01	2569.92	2624.82	2679.41	2777.46
