#depth (m)	ice-age (yr b1950)	origin	thinning
148.5	4.13681	NaN	NaN
149.05	4.156106667	NaN	NaN
149.6	4.175403333	NaN	NaN
150.15	4.1947	NaN	NaN
150.7	4.213876667	NaN	NaN
151.25	4.233053333	NaN	NaN
151.8	4.25223	NaN	NaN
152.35	4.270926667	NaN	NaN
152.9	4.289623333	NaN	NaN
153.45	4.30832	NaN	NaN
154	4.327686667	NaN	NaN
154.55	4.347053333	NaN	NaN
155.1	4.36642	NaN	NaN
155.65	4.385993333	NaN	NaN
156.2	4.405566667	NaN	NaN
156.75	4.42514	NaN	NaN
157.3	4.444616667	NaN	NaN
157.85	4.464093333	NaN	NaN
158.4	4.48357	NaN	NaN
158.95	4.502196667	NaN	NaN
159.5	4.520823333	NaN	NaN
160.05	4.53945	NaN	NaN
160.6	4.559533333	NaN	NaN
161.15	4.579616667	NaN	NaN
161.7	4.5997	NaN	NaN
162.25	4.619333333	NaN	NaN
162.8	4.638966667	NaN	NaN
163.35	4.6586	NaN	NaN
163.9	4.67818	NaN	NaN
164.45	4.69776	NaN	NaN
165	4.71734	NaN	NaN
165.55	4.73708	NaN	NaN
166.1	4.75682	NaN	NaN
166.65	4.77656	NaN	NaN
167.2	4.796936667	NaN	NaN
167.75	4.817313333	NaN	NaN
168.3	4.83769	NaN	NaN
168.85	4.857883333	NaN	NaN
169.4	4.878076667	NaN	NaN
169.95	4.89827	NaN	NaN
170.5	4.917313333	NaN	NaN
171.05	4.936356667	NaN	NaN
171.6	4.9554	NaN	NaN
172.15	4.974896667	NaN	NaN
172.7	4.994393333	NaN	NaN
173.25	5.01389	NaN	NaN
173.8	5.033816667	NaN	NaN
174.35	5.053743333	NaN	NaN
174.9	5.07367	NaN	NaN
175.45	5.093896667	NaN	NaN
176	5.114123333	NaN	NaN
176.55	5.13435	NaN	NaN
177.1	5.153643333	NaN	NaN
177.65	5.172936667	NaN	NaN
178.2	5.19223	NaN	NaN
178.75	5.211516667	NaN	NaN
179.3	5.230803333	NaN	NaN
179.85	5.25009	NaN	NaN
180.4	5.270213333	NaN	NaN
180.95	5.290336667	NaN	NaN
181.5	5.31046	NaN	NaN
182.05	5.32996	NaN	NaN
182.6	5.34946	NaN	NaN
183.15	5.36896	NaN	NaN
183.7	5.388393333	NaN	NaN
184.25	5.407826667	NaN	NaN
184.8	5.42726	NaN	NaN
185.35	5.44929	NaN	NaN
185.9	5.47132	NaN	NaN
186.45	5.49335	NaN	NaN
187	5.51482	NaN	NaN
187.55	5.53629	NaN	NaN
188.1	5.55776	NaN	NaN
188.65	5.577706667	NaN	NaN
189.2	5.597653333	NaN	NaN
189.75	5.6176	NaN	NaN
190.3	5.637313333	NaN	NaN
190.85	5.657026667	NaN	NaN
191.4	5.67674	NaN	NaN
191.95	5.69692	NaN	NaN
192.5	5.7171	NaN	NaN
193.05	5.73728	NaN	NaN
193.6	5.75682	NaN	NaN
194.15	5.77636	NaN	NaN
194.7	5.7959	NaN	NaN
195.25	5.814726667	NaN	NaN
195.8	5.833553333	NaN	NaN
196.35	5.85238	NaN	NaN
196.9	5.871363333	NaN	NaN
197.45	5.890346667	NaN	NaN
198	5.90933	NaN	NaN
198.55	5.929466667	NaN	NaN
199.1	5.949603333	NaN	NaN
199.65	5.96974	NaN	NaN
200.2	5.990843333	NaN	NaN
200.75	6.011946667	NaN	NaN
201.3	6.03305	NaN	NaN
201.85	6.05266	NaN	NaN
202.4	6.07227	NaN	NaN
202.95	6.09188	NaN	NaN
203.5	6.112	NaN	NaN
204.05	6.13212	NaN	NaN
204.6	6.15224	NaN	NaN
205.15	6.172113333	NaN	NaN
205.7	6.191986667	NaN	NaN
206.25	6.21186	NaN	NaN
206.8	6.23189	NaN	NaN
207.35	6.25192	NaN	NaN
207.9	6.27195	NaN	NaN
208.45	6.2926	NaN	NaN
209	6.31325	NaN	NaN
209.55	6.3339	NaN	NaN
210.1	6.35444	NaN	NaN
210.65	6.37498	NaN	NaN
211.2	6.39552	NaN	NaN
211.75	6.41667	NaN	NaN
212.3	6.43782	NaN	NaN
212.85	6.45897	NaN	NaN
