# distance (km)	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
11.5	1062.03	1185.05	1246.67	1317.08	1483.32	1571.22	1718.94	1858.05	1952.86	2086.97	2160.88	2277.85	2299.37	2476.27	2518.02	2561.55	2615.91	2665.4	2773.54
11.6	1060.69	1184.1	1246.87	1316	1483.72	1570.58	1718.94	1858.26	1953	2087.56	2161.15	2277.6	2299.29	2476.55	2517.48	2561.81	2615.53	2663.63	2767.04
11.7	1059.76	1183.15	1245.3	1314.97	1483.32	1570.13	1718.94	1858.25	1953.14	2088.15	2161.42	2277.24	2298.78	2474.82	2516.93	2562.07	2615.15	2661.86	2761.22
11.8	1057.8	1182.21	1244.07	1314.39	1483.32	1569.64	1718.94	1857.84	1953.27	2088.57	2161.69	2277.14	2298.54	2474.22	2516.39	2562.33	2612.43	2660.09	2756.89
11.9	1058.21	1181.26	1243.44	1313.42	1482.28	1569.27	1718.59	1857.72	1953.41	2089.24	2161.96	2276.97	2298.17	2472.35	2513.76	2562.59	2610.11	2658.33	2753.48
12	1057.39	1180.31	1242.51	1313.2	1482.29	1569.25	1717.99	1857.94	1954.29	2089.91	2162.23	2276.45	2298.41	2470.84	2511.02	2562.85	2609.58	2656.56	2750.39
12.1	1054.74	1179.13	1242.49	1312.56	1481.7	1569.49	1717.38	1858.01	1955.13	2090.44	2162.85	2277.87	2301.14	2471.3	2509.92	2563.11	2610.67	2656.41	2750.48
12.2	1055.29	1178.91	1241.64	1312.63	1481.12	1569.46	1716.77	1859.62	1956.11	2090.92	2164.35	2279.11	2301	2471.03	2509.92	2564.06	2611.71	2656.41	2750.77
12.3	1054.64	1178.19	1240.62	1311.65	1480.54	1569.47	1716.18	1859.15	1957.2	2091.39	2165.81	2279.99	2300.93	2472	2509.92	2565.14	2612.57	2657.85	2753.48
12.4	1053.88	1177.43	1240.24	1311.63	1479.94	1568.83	1716.37	1860.22	1958.91	2091.89	2167.36	2279.7	2301.65	2473.12	2510.3	2565.82	2613.56	2660.29	2756.99
12.5	1052.54	1176.63	1239.18	1311.17	1479.3	1568.32	1716.68	1860.34	1960.81	2093.54	2168.98	2281.32	2302.52	2473.57	2511.36	2566.31	2614.6	2662.85	2760.68
12.6	1050.93	1175.87	1238.13	1309.43	1478.7	1568.31	1716.97	1860.7	1962.44	2095.59	2170.78	2283.23	2304.28	2475.75	2512.36	2567.32	2615.59	2665.28	2761.91
12.7	1050.7	1175.15	1237.55	1308.62	1478.13	1568.59	1717.24	1862.17	1964.06	2097.53	2172.8	2283.97	2306.11	2475.41	2513.31	2567.05	2616.73	2667.59	2761.42
12.8	1049.74	1174.46	1237.22	1309.24	1479.46	1568.97	1717.51	1863.39	1965.64	2099.44	2174.97	2285.48	2308.47	2476.18	2514.23	2567.43	2618.24	2669.82	2763.29
12.9	1049.65	1173.74	1236.67	1308.9	1480.82	1569.74	1717.96	1865.12	1966.93	2101.76	2176.82	2287.92	2309.69	2477.9	2515.18	2567.69	2619.49	2672.12	2766.15
13	1049.02	1173.04	1236.9	1309.08	1482.21	1570.24	1717.84	1866.58	1968.87	2104.01	2178.64	2289.24	2312.58	2479.71	2517.96	2567.95	2620.84	2674.36	2769.09
13.1	1048.83	1172.32	1237.11	1308.7	1483.26	1571.36	1719.06	1868.67	1970.85	2106.33	2181.3	2292.48	2313.2	2481.85	2520.53	2568.21	2622.24	2676.54	2772.11
13.2	1048.12	1172.23	1236.3	1308.83	1484.88	1572.16	1720.41	1870.21	1972.84	2108.64	2182.89	2294.87	2316.83	2483.06	2522.97	2568.47	2623.64	2677.99	2775.1
13.3	1048.3	1172.43	1236.26	1309.52	1486.2	1573.46	1721.58	1872.14	1974.77	2110.89	2184.83	2296.79	2319.22	2485.35	2525.01	2569.92	2624.82	2679.41	2777.46
13.4	1046.7	1172.32	1236.4	1309.6	1487.57	1574.06	1723.06	1874.28	1976.76	2113.21	2186.83	2298.44	2321.66	2485.92	2527.11	2571.45	2625.84	2680.86	2779.9
13.5	1047.25	1173.37	1237	1310.18	1488.85	1574.67	1724.41	1875.52	1978.75	2115.52	2188.76	2300.24	2323.54	2489.3	2527.72	2572.98	2626.86	2682.31	2780.83
13.6	1046.36	1173.84	1236.51	1310.46	1489.92	1575.74	1725.75	1877.65	1980.74	2117.12	2189.99	2302.49	2325.05	2491.06	2528.01	2574.51	2627.88	2684.23	2777.68
13.7	1048.75	1174.31	1236.98	1310.47	1491	1576.87	1727.1	1879.24	1983.25	2118.73	2191.22	2303.19	2326.03	2492.21	2528.3	2576.04	2628.77	2685.22	2773.95
13.8	1046.62	1174.78	1237.9	1311.02	1492.08	1577.88	1728.86	1880.29	1984.71	2120.34	2192.45	2304.42	2325.41	2492.5	2528.59	2577.38	2629.66	2686.68	2772.11
13.9	1046.3	1175.25	1237.2	1311.41	1493.15	1579.19	1730.77	1882.06	1986.7	2121.94	2193.68	2306.05	2325.94	2493.75	2530.99	2577.99	2630.56	2688.13	2773.54
14	1045.79	1175.72	1237.98	1312.23	1494.23	1580.24	1732.68	1884.25	1988.69	2123.55	2194.91	2307.63	2328.08	2495.58	2535.18	2578.6	2632.02	2689.58	2781.18
14.1	1045.53	1176.19	1238.11	1313.51	1495.31	1581.78	1734.59	1886.85	1990.97	2126.04	2196.14	2310.33	2331.5	2499.35	2540.61	2580.53	2636.25	2691.04	2790.45
14.2	1045.51	1176.66	1239.14	1314.3	1496.38	1583.64	1736.49	1889.44	1993.46	2129.59	2199.35	2312.38	2334.4	2502.75	2547.57	2585.36	2640.96	2700.15	2802.5
14.3	1045.08	1177.09	1239.6	1314.95	1497.37	1585.43	1738.4	1892.54	1995.94	2133.13	2203.15	2317.45	2341.1	2507.54	2554.71	2590.18	2647.64	2715.02	2815.62
14.4	1046.98	1177.09	1240.48	1315.81	1498.68	1587.3	1740.11	1895.39	1998.42	2136.68	2206.95	2321	2342.68	2513.84	2561.12	2597.62	2659.05	2729.88	2828.74
14.5	1047	1177.17	1241.15	1316.7	1500.03	1589.02	1741.78	1898.36	2000.91	2139.73	2210.75	2325.36	2347.18	2519.55	2563.9	2608.99	2670.45	2744.74	2841.86
14.6	1046.74	1177.09	1241.6	1317.61	1501.59	1590.35	1743.44	1900.64	2003.39	2142.72	2214.54	2329.44	2351.39	2525.48	2563.32	2620.36	2680.48	2752.05	2854.99
14.7	1046.08	1177.09	1242.2	1318.09	1503.1	1591.69	1745.1	1902.52	2005.88	2145.52	2215.8	2329.01	2352.24	2525.46	2557.74	2617.84	2674.01	2754.27	2856.77
14.8	1046.26	1177.09	1242.63	1319.33	1503.44	1592.6	1746.76	1903.34	2008.36	2144.68	2216.81	2326.26	2349.63	2520.17	2554.79	2611.2	2665.67	2750.45	2845.28
14.9	1046.58	1177.09	1243.04	1319.4	1504.87	1593.39	1747.68	1903.5	2007.97	2143.09	2214.48	2323.53	2346.58	2516.64	2551.85	2604.57	2657.32	2737.4	2833.78
15	1046.12	1177.09	1242.64	1320.17	1505.72	1594.08	1748.25	1903.84	2007.59	2141.22	2212.21	2320.72	2341.21	2512.14	2548.9	2600.85	2652.12	2727.47	2821.37
15.1	1046.93	1177.09	1244.14	1321.06	1506.5	1595.31	1748.8	1904.34	2007.49	2139.2	2209.98	2318.5	2341.07	2509.82	2546.04	2597.7	2647.61	2724.44	2816.11
15.2	1047.67	1177.09	1244.65	1322.05	1507.27	1596.32	1749.35	1904.75	2006.8	2137.19	2207.75	2317.02	2339.23	2507.45	2544.75	2595.72	2644.01	2721.42	2812.09
15.3	1048.07	1177.09	1245.32	1323.03	1508.78	1597.61	1749.89	1905.63	2007.15	2136.66	2205.58	2315.66	2336.12	2506.27	2544.33	2594.42	2643.93	2718.48	2809.53
15.4	1048.09	1177.39	1246.61	1324.78	1510.79	1599.09	1750.74	1906.34	2008.75	2136.28	2203.35	2313.92	2334.38	2504.2	2543.89	2593.08	2643.84	2715.45	2806.89
15.5	1048.72	1179.64	1248.4	1325.83	1512.12	1600.22	1751.78	1907.21	2009.7	2135.89	2203.6	2313.5	2335.57	2502.94	2544.56	2594.34	2644.38	2716.19	2807
15.6	1050.57	1181.36	1249.11	1328.48	1515.11	1602.97	1752.92	1909.88	2011.08	2135.46	2204.04	2313.79	2336.28	2503.08	2546.21	2595.7	2647.62	2718.45	2811.57
15.7	1051.57	1183.23	1253.27	1331.11	1517.92	1606.26	1756.29	1912.62	2013.24	2137.27	2205.7	2315.46	2335.94	2505.25	2549.35	2597.76	2651.38	2720.91	2817.68
