# depth_(m) age 39.8 origin
418.924218248067859349 15.333457858058940460 39.8 0.826350370661422029
423.421617274231380179 15.600773926249271284 39.8 0.824320900226793829
427.914358196794637479 15.894210327520294612 39.8 0.822293532398886140
432.402441015757347031 16.189782749636581372 39.8 0.820268267216778479
436.885865731119793054 16.498615438915763320 39.8 0.818245104721504912
441.364632342881691329 16.819461177976709365 39.8 0.816224044956122996
445.838740851043326074 17.161598186039732639 39.8 0.814205087965785390
450.308191255604640446 17.530911680332007307 39.8 0.812188233797811576
454.772983556565463914 17.911990063616013202 39.8 0.810173482501762687
459.233117753925967008 18.311018823102539699 39.8 0.808160834129515671
463.688593847686263416 18.706152892662185394 39.8 0.806150288735341114
468.139411837845955233 19.096876926036163269 39.8 0.804141846375979741
472.585571724405383520 19.484781506249166938 39.8 0.802135507110723345
