#distance (km)	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
16.6	1068.81	1204.05	1278.79	1359.14	1546.83	1636.63	1784.96	1941.06	2035.55	2156.94	2221.47	2331.23	2350.98	2524.45	2570.42	2626.24	2695.46	2757.41	2859.99
16.7	1070.47	1205.81	1280.2	1360.06	1548.78	1638.06	1787.61	1942.2	2037.08	2158.16	2222.5	2332.45	2354.71	2526.71	2572.22	2629.92	2700.28	2762.6	2863.9
16.8	1070.21	1208.19	1281.41	1361.16	1547.63	1638.48	1791.28	1941.72	2039.01	2159	2223.89	2331.27	2351.5	2527.1	2575.14	2634.9	2706.8	2769.63	2871.55
16.9	1073.48	1209.95	1282.91	1363.71	1548.63	1640.94	1793.59	1944.17	2040.23	2159.41	2224.92	2333.51	2355.22	2531.13	2577.31	2638.58	2711.61	2774.82	2886.91
17.2	1079.61	1216.34	1290.85	1371.09	1555.13	1647.6	1799.4	1949.28	2043.95	2162.15	2228.72	2336.23	2356.96	2534.79	2580.75	2640.53	2714.5	2790.55	2910.58
17.3	1080.93	1218.73	1292.47	1370.51	1557.21	1649.23	1801.26	1950.73	2045.14	2164.91	2230.17	2336.81	2358	2535.38	2583.26	2641.4	2714.39	2795.59	2916.17
17.4	1081.34	1221.19	1294.67	1374.21	1559.35	1651.05	1803.18	1952.45	2046.32	2167.75	2231.66	2338.93	2358.89	2537.98	2588.57	2643.67	2717.98	2801.75	2921.58
17.5	1080.85	1223.63	1295.94	1376.25	1560.98	1652.6	1804.53	1953.88	2047.3	2170.59	2233.16	2340.45	2362.88	2541.2	2593.72	2646.08	2722.75	2808.36	2928.17
17.6	1084.25	1226.11	1297.7	1377.63	1562.39	1653.9	1805.48	1955.24	2048.28	2170.8	2234.65	2342.4	2364.94	2545.06	2597.68	2650.86	2728.89	2814.88	2934.77
17.7	1085.67	1227.57	1298.51	1378.71	1563.24	1654.94	1806.43	1956.53	2049.19	2170.32	2236.14	2345.02	2365.24	2549.7	2600.13	2655.64	2735.44	2818.59	2941.36
17.8	1086.96	1228.33	1300.11	1380.45	1563.48	1655.29	1807.38	1956.53	2048.69	2169.84	2235.04	2345.53	2368.08	2551.97	2600.38	2657.37	2733.8	2816.4	2947.96
17.9	1087.64	1228.5	1300.58	1379.87	1563.04	1655.05	1808.33	1955.82	2047.48	2167.68	2233.36	2343.89	2366.12	2550.76	2600.62	2656.24	2728.62	2808.9	2954.33
18	1086.07	1228.97	1301.23	1379.9	1562.23	1654.13	1809.28	1953.48	2046.26	2164.47	2227.69	2339.95	2359.19	2546.27	2592.42	2651.36	2720.96	2796.07	2959
18.1	1082.88	1229.41	1300.67	1378.9	1560.83	1652.54	1807.38	1950.65	2042.19	2160.27	2221.88	2334.4	2353.66	2536.06	2583.69	2640.59	2712.23	2783.24	2961.16
18.2	1084.76	1229.54	1299.84	1378.24	1560.01	1650.66	1803.84	1946.63	2037.87	2155.02	2216.25	2328.29	2347.71	2531.42	2575.22	2629.9	2701.61	2770.79	2956.49
18.3	1087.2	1228.08	1298.8	1376.6	1557.97	1648.01	1800.19	1943.61	2033.42	2149.6	2210.45	2321.36	2342.14	2521.09	2566.5	2620.38	2690.67	2757.96	2946.71
18.4	1086.3	1226.61	1298.46	1375.18	1554.91	1645.15	1796.54	1939.37	2027.94	2143.76	2204.65	2315.46	2337.71	2515.17	2557.77	2610.72	2679.73	2745.6	2934.43
18.5	1085.59	1225.14	1296.51	1373.45	1551.85	1641.85	1793	1934.55	2022.63	2137.91	2198.84	2308.87	2329.3	2503.92	2549.04	2601.63	2668.79	2733.26	2920.48
18.6	1085.3	1223.67	1294.88	1371.24	1548.51	1638.63	1789.51	1929.47	2017.33	2132.07	2193.04	2301.55	2320.97	2497.08	2540.32	2594.09	2658.08	2720.91	2903.98
18.7	1082.97	1222.25	1292.99	1369.23	1545.13	1635.14	1786.12	1925.83	2011.82	2126.42	2187.41	2295.02	2313.73	2488.53	2531.85	2586.77	2647.77	2708.93	2884.74
18.8	1082.59	1220.78	1291.35	1367.57	1541.81	1631.46	1782.63	1919.76	2006.88	2121.19	2181.6	2288.28	2305.99	2479.7	2523.12	2579.23	2637.15	2697.57	2859.78
18.9	1081.77	1219.31	1289.98	1364.59	1537.64	1628.29	1779.4	1914.9	2002.24	2116.53	2175.8	2281.24	2300.88	2470.44	2514.39	2571.69	2626.53	2688.96	2833.61
19	1078.57	1218.33	1287.95	1362.85	1535.51	1625	1776.32	1910.95	1997.78	2112.02	2170	2275.24	2293.35	2467.68	2505.92	2564.15	2615.91	2684.06	2811.8
19.1	1078.99	1217.38	1286.3	1360.8	1533.26	1622.06	1773.25	1906.63	1993.32	2107.11	2164.19	2270.15	2289.34	2460.09	2497.91	2556.91	2610.36	2681.19	2795.49
19.2	1079.42	1216.67	1284.92	1358.64	1531.02	1619.64	1770.26	1903.75	1988.99	2102.05	2160.45	2265.58	2284.11	2456.42	2490.3	2552.88	2607.03	2678.4	2784.32
19.3	1079.69	1215.47	1283.83	1357.56	1528.47	1617.24	1767.09	1900.11	1984.39	2096.84	2158.37	2262.77	2282.6	2452.8	2485	2548.6	2603.48	2675.45	2779.86
19.4	1079.41	1215.62	1283.77	1356.02	1525.91	1615.41	1764.16	1898.32	1982.3	2094.66	2156.34	2259.76	2277.76	2450.45	2481.13	2540.2	2601.7	2672.02	2779.1
19.5	1078.69	1214.76	1282.12	1354.39	1523.47	1613.69	1762.61	1899.16	1980.37	2091.76	2154.21	2257.46	2275.58	2448.99	2479.56	2536.84	2600.69	2671.57	2778.91
19.6	1077.77	1214.39	1280.57	1353.92	1522.23	1612.03	1761.1	1898.15	1978.53	2089.73	2152.32	2256.33	2274.61	2448.14	2480.19	2533.85	2599.7	2671.06	2780.23
19.7	1080.19	1214.5	1280.66	1353.17	1521.71	1611.38	1759.6	1893.63	1978.33	2088.38	2152.32	2256.09	2273.23	2448.18	2481.08	2535.24	2598.72	2670.56	2783.8
19.9	1079.59	1213.97	1280.46	1352.34	1519.69	1610.31	1758.62	1893.06	1978.33	2089.78	2153.82	2256.25	2274.65	2448.48	2484.93	2538.01	2603.27	2674.97	2793.74
20	1078.85	1214.14	1280.53	1352.21	1519.64	1610.24	1758.62	1893.14	1978.33	2090.43	2154.56	2257.71	2276.18	2451.49	2487.99	2539.89	2607.04	2680.61	2800.82
20.1	1080.55	1214.33	1281.19	1352.15	1519.85	1610.24	1758.62	1893.54	1978.99	2091.93	2155.31	2258.84	2279.08	2455.56	2491.24	2544.62	2610.91	2686.25	2812.47
20.2	1081.84	1214.53	1280.38	1352.25	1519.64	1610.74	1758.62	1893.71	1980.36	2093.48	2156.66	2261.69	2281.96	2459.27	2495.67	2549.49	2616.1	2694.13	2827.24
