# depth age thinning accu x_origin accu_steady
5.900000000000000000e+01 1.402079937586569713e+03 9.816486383190337062e-01 2.367434056368865683e-02 3.669671086555346164e+02 1.650000000000000078e-02
6.000000000000000000e+01 1.432848215637800649e+03 9.812410959345971850e-01 2.386633520652000490e-02 3.668977613174310477e+02 1.650000000000000078e-02
6.100000000000000000e+01 1.466648788681082578e+03 9.808314090255582096e-01 2.405468325715584207e-02 3.668279557703415321e+02 1.650000000000000078e-02
6.200000000000000000e+01 1.500496268903228838e+03 9.804198463416573528e-01 2.430575033143183780e-02 3.667579858992996833e+02 1.650000000000000078e-02
6.300000000000000000e+01 1.534276511312421690e+03 9.800066102967870396e-01 2.421194740675338894e-02 3.666880545686452706e+02 1.650000000000000078e-02
6.400000000000000000e+01 1.567904003346127183e+03 9.795917267742468848e-01 2.405645669569515116e-02 3.666177126581965808e+02 1.650000000000000078e-02
6.500000000000000000e+01 1.601864616085111720e+03 9.791750777338475986e-01 2.372013148300931851e-02 3.665469598992730766e+02 1.650000000000000078e-02
6.600000000000000000e+01 1.636276077035204253e+03 9.787566745775900801e-01 2.393619266025599421e-02 3.664757520882555468e+02 1.650000000000000078e-02
6.700000000000000000e+01 1.671380818583931386e+03 9.783367855411951863e-01 2.389623489956685734e-02 3.664041328665201149e+02 1.650000000000000078e-02
6.800000000000000000e+01 1.706351094131178797e+03 9.779155490389404015e-01 2.373902241360377127e-02 3.663321459131217921e+02 1.650000000000000078e-02
6.900000000000000000e+01 1.741576857479367618e+03 9.774929746888786353e-01 2.389936621950755971e-02 3.662597909823228406e+02 1.650000000000000078e-02
7.000000000000000000e+01 1.777216146722420945e+03 9.770690721400918655e-01 2.375378393215707776e-02 3.661870678269992254e+02 1.650000000000000078e-02
7.100000000000000000e+01 1.812796661344899803e+03 9.766438510750815594e-01 2.367766029606644881e-02 3.661139761986377152e+02 1.650000000000000078e-02
7.200000000000000000e+01 1.848806265384369453e+03 9.762171939348676108e-01 2.475068833266390669e-02 3.660405158473331539e+02 1.650000000000000078e-02
